date,day,pm2.5,pm10,o3,no2,co,so2
2023-07-01,182,16.502968,18.024825,9.953641,18.104152,7.967996,4.495779
2023-07-02,183,22.510827,31.082165,10.463734,24.754514,11.431534,3.481756
2023-07-03,184,15.532054,30.147824,7.407063,22.009252,11.181316,1.828807
2023-07-04,185,18.071595,31.892896,6.942585,26.187461,9.355397,2.171439
2023-07-05,186,19.330236,24.880467,7.834134,18.312965,10.294966,3.811614
2023-07-06,187,12.677290,16.596278,9.596248,13.228276,10.158688,4.577057
2023-07-07,188,12.531100,14.290744,11.237486,14.330962,7.574173,4.291844
2023-07-08,189,14.623939,21.438232,10.743991,19.184743,9.886338,4.439887
2023-07-09,190,20.119804,32.330150,8.096021,20.387605,10.389732,2.829868
2023-07-10,191,16.153984,25.207854,9.014279,21.080059,10.056242,2.166628
2023-07-11,192,16.599101,31.131543,6.131198,23.979152,9.822372,2.376554
2023-07-12,193,18.501062,25.145232,9.470813,18.615423,8.055780,3.824838
2023-07-13,194,11.921910,15.448337,10.042884,12.778836,8.815509,4.327444
2023-07-14,195,12.696054,16.049347,9.690510,14.352049,9.313956,4.793976
2023-07-15,196,15.216659,16.181949,11.291861,13.218312,9.247780,4.624551
2023-07-16,197,21.077526,27.410480,8.843423,21.846262,10.682848,3.237806
2023-07-17,198,16.821132,29.106965,8.228638,29.330294,11.380714,1.922104
2023-07-18,199,19.092615,29.987909,9.856184,24.143986,11.058647,2.855041
2023-07-19,200,16.189910,21.991924,9.163260,19.748711,10.059366,3.552771
2023-07-20,201,14.403557,20.381629,8.097235,15.239473,9.549002,5.515014
2023-07-21,202,11.735687,14.576735,8.446604,9.980794,7.151627,3.870287
2023-07-22,203,18.200129,23.123517,8.150043,15.490532,9.856747,5.395586
2023-07-23,204,18.556674,25.336549,8.988702,21.964402,9.048651,3.132307
2023-07-24,205,16.515893,33.864756,7.899299,24.296786,9.237572,2.493802
2023-07-25,206,17.315440,29.663825,9.206466,22.997093,10.227345,2.495459
2023-07-26,207,19.391756,31.954558,7.822294,17.514465,9.868726,3.564480
2023-07-27,208,13.504741,19.425334,9.887197,17.172646,9.198115,4.429954
2023-07-28,209,11.914215,13.931720,9.965513,12.848968,8.688484,4.283727
2023-07-29,210,15.968573,18.182593,10.122114,19.639201,9.337568,4.733404
2023-07-30,211,21.667574,29.123766,7.008573,20.923828,9.771006,3.642285
2023-07-31,212,17.040822,31.899560,6.607325,25.521553,7.663167,2.114189
2023-08-01,213,19.549359,29.128043,8.817040,26.961093,12.493535,2.653590
2023-08-02,214,14.945543,24.866811,9.073734,21.392200,8.060490,3.545393
2023-08-03,215,13.548126,16.940281,9.037796,14.984808,10.064695,4.689330
2023-08-04,216,11.982301,16.566758,7.902513,14.462108,7.761142,4.014345
2023-08-05,217,19.768566,23.036772,9.357487,13.947633,9.952355,5.363651
2023-08-06,218,25.271291,32.726585,10.829326,28.862642,11.810071,2.832422
2023-08-07,219,17.229945,27.686523,9.193435,25.211817,9.226507,2.285757
2023-08-08,220,18.099479,32.437716,6.482624,21.595649,10.644462,2.113672
2023-08-09,221,13.975742,20.471472,9.965561,26.109871,9.712927,3.113960
2023-08-10,222,12.681522,16.279429,11.243269,12.435487,10.827236,3.957848
2023-08-11,223,12.995928,14.031777,10.649875,13.790821,8.051104,4.494775
2023-08-12,224,16.643423,24.143685,9.413853,14.039042,9.664965,4.412852
2023-08-13,225,16.986882,27.830648,8.733133,24.460289,9.296572,2.795029
2023-08-14,226,11.795729,30.397248,8.257554,29.490124,10.392055,2.596558
2023-08-15,227,14.947413,27.662621,8.957708,21.383252,7.704792,2.398038
2023-08-16,228,16.951313,22.547512,10.187724,17.858680,10.524347,3.153686
2023-08-17,229,11.646486,14.577289,9.328554,10.250408,6.440071,3.965541
2023-08-18,230,11.543753,14.199108,9.772231,9.462533,8.677875,4.110819
2023-08-19,231,17.398607,19.219709,7.282083,13.775444,9.140544,5.017283
2023-08-20,232,18.350047,29.558134,7.944826,20.235118,8.631920,2.691243
2023-08-21,233,14.764452,30.618152,8.161737,29.812684,10.750163,2.283713
2023-08-22,234,15.863701,31.149926,9.783623,26.231330,11.156918,2.089322
2023-08-23,235,16.978590,26.412905,9.308709,16.960934,11.025703,3.425000
2023-08-24,236,13.036553,14.091610,10.075131,16.482428,10.192964,4.085051
2023-08-25,237,11.396276,13.469886,7.297557,16.087579,9.560800,4.087783
2023-08-26,238,18.609309,26.027742,9.922017,15.659336,10.084485,5.028937
2023-08-27,239,24.979564,33.729754,8.543360,23.221403,11.073981,3.667816
2023-08-28,240,16.624815,32.409801,8.493568,26.679964,11.335681,2.210176
2023-08-29,241,19.183020,31.559514,7.769345,24.591085,10.765624,2.827063
2023-08-30,242,20.336586,26.552713,7.423230,19.727974,12.763988,3.813029
2023-08-31,243,14.001946,18.048515,6.570426,14.595061,8.526999,4.369173
2023-09-01,244,12.072287,12.169199,10.851605,11.972493,7.327305,4.994984
