date,day,pm2.5,pm10,o3,no2,co,so2
2023-07-01,182,0.781479,0.747426,0.476523,0.817162,0.507240,0.769463
2023-07-02,183,0.644638,0.522104,0.473947,0.808546,0.631353,0.606900
2023-07-03,184,0.118282,0.027531,0.501154,0.811819,0.550999,0.038727
2023-07-04,185,0.315443,0.227939,0.478766,0.772850,0.568919,0.326267
2023-07-05,186,0.688599,0.630473,0.385607,0.806946,0.467088,0.670029
2023-07-06,187,0.768611,0.669361,0.421920,0.812448,0.483193,0.756941
2023-07-07,188,0.818068,0.704443,0.512719,0.842920,0.623829,0.803202
2023-07-08,189,0.813077,0.671824,0.468867,0.830560,0.534278,0.786303
2023-07-09,190,0.576522,0.535184,0.409768,0.813673,0.619483,0.502999
2023-07-10,191,0.255485,0.098765,0.576835,0.854713,0.544858,-0.006950
2023-07-11,192,0.412511,0.255816,0.468534,0.848439,0.595172,0.287913
2023-07-12,193,0.761195,0.696018,0.334279,0.789045,0.610725,0.740691
2023-07-13,194,0.809643,0.772161,0.468288,0.806837,0.442366,0.796531
2023-07-14,195,0.834362,0.706441,0.350706,0.807470,0.448953,0.830553
2023-07-15,196,0.751337,0.673537,0.448001,0.793794,0.461510,0.760548
2023-07-16,197,0.620716,0.558633,0.441774,0.806174,0.564934,0.590470
2023-07-17,198,0.029141,0.027054,0.382796,0.814000,0.600223,0.020248
2023-07-18,199,0.411086,0.214507,0.469301,0.813132,0.453789,0.383706
2023-07-19,200,0.724924,0.636514,0.529892,0.882050,0.649737,0.703829
2023-07-20,201,0.746465,0.668292,0.275039,0.784947,0.570967,0.739321
2023-07-21,202,0.803968,0.796982,0.564275,0.835395,0.631237,0.791925
2023-07-22,203,0.834264,0.795467,0.386270,0.832603,0.587404,0.830720
2023-07-23,204,0.621912,0.538150,0.483871,0.860810,0.615821,0.573719
2023-07-24,205,0.176680,0.110264,0.470857,0.861121,0.621254,0.155856
2023-07-25,206,0.561009,0.463375,0.450286,0.864421,0.557307,0.391893
2023-07-26,207,0.836459,0.745512,0.439579,0.864308,0.659887,0.809948
2023-07-27,208,0.787101,0.716280,0.399978,0.838798,0.460439,0.771177
2023-07-28,209,0.796481,0.716998,0.532568,0.809882,0.587881,0.785998
2023-07-29,210,0.800003,0.706577,0.370837,0.836289,0.645978,0.787929
2023-07-30,211,0.505557,0.483121,0.443287,0.867432,0.602601,0.479575
2023-07-31,212,0.063033,0.005789,0.534753,0.895430,0.619430,-0.026261
2023-08-01,213,0.419751,0.353190,0.545655,0.860862,0.500293,0.396122
2023-08-02,214,0.829039,0.789124,0.497257,0.846540,0.518755,0.789872
2023-08-03,215,0.832199,0.753534,0.456328,0.854623,0.565804,0.815550
2023-08-04,216,0.781191,0.687409,0.421545,0.818949,0.563088,0.762825
2023-08-05,217,0.812640,0.747631,0.395969,0.844029,0.423922,0.782224
2023-08-06,218,0.713574,0.587593,0.430005,0.839622,0.566614,0.699538
2023-08-07,219,0.109478,-0.026731,0.296507,0.800841,0.510257,-0.008132
2023-08-08,220,0.513144,0.405086,0.399614,0.864731,0.613821,0.375192
2023-08-09,221,0.731204,0.637298,0.391943,0.814669,0.576485,0.709567
2023-08-10,222,0.758675,0.711725,0.538287,0.828944,0.645854,0.758756
2023-08-11,223,0.791989,0.729491,0.611779,0.812058,0.579743,0.793323
2023-08-12,224,0.794357,0.756533,0.530478,0.832996,0.636110,0.791936
2023-08-13,225,0.586557,0.545244,0.525237,0.863426,0.689570,0.560738
2023-08-14,226,-0.355606,-0.241574,0.511817,0.901312,0.562789,-0.270331
2023-08-15,227,0.363477,0.288915,0.483682,0.842282,0.624516,0.296839
2023-08-16,228,0.803818,0.738555,0.428404,0.872796,0.541899,0.782349
2023-08-17,229,0.873251,0.801079,0.491463,0.903832,0.526769,0.867176
2023-08-18,230,0.795360,0.734231,0.539217,0.819522,0.590347,0.779097
2023-08-19,231,0.758804,0.712555,0.337868,0.901508,0.628045,0.769142
2023-08-20,232,0.617942,0.477961,0.566010,0.902981,0.630128,0.613898
2023-08-21,233,0.058121,-0.047822,0.450067,0.878515,0.637106,0.000051
2023-08-22,234,0.482204,0.380019,0.427083,0.890024,0.615754,0.388549
2023-08-23,235,0.803680,0.709608,0.411473,0.853938,0.603539,0.773450
2023-08-24,236,0.850492,0.784355,0.458180,0.823081,0.617430,0.849493
2023-08-25,237,0.861641,0.781967,0.408027,0.827752,0.630905,0.847349
2023-08-26,238,0.810514,0.726244,0.530145,0.824896,0.684339,0.799817
2023-08-27,239,0.582992,0.545237,0.512016,0.827613,0.624961,0.522097
2023-08-28,240,0.015374,0.047103,0.503736,0.791336,0.490601,0.049185
2023-08-29,241,0.266487,0.168614,0.487483,0.880169,0.606139,0.158675
2023-08-30,242,0.778835,0.699090,0.599021,0.869215,0.555124,0.769256
2023-08-31,243,0.829253,0.790771,0.447210,0.881831,0.636580,0.804421
2023-09-01,244,0.840976,0.795986,0.551973,0.868280,0.618698,0.830501
2023-09-02,245,0.811113,0.771757,0.532119,0.821651,0.586451,0.798659
2023-09-03,246,0.494911,0.423144,0.468715,0.807271,0.650753,0.461466
2023-09-04,247,-0.938463,-0.322700,0.293572,0.875375,0.491042,-0.490049
2023-09-05,248,0.391468,0.381773,0.486134,0.788991,0.611776,0.305046
2023-09-06,249,0.862087,0.802561,0.516420,0.876178,0.649767,0.830330
2023-09-07,250,0.830408,0.776312,0.390896,0.863567,0.656313,0.804975
2023-09-08,251,0.785479,0.699798,0.426098,0.827712,0.606231,0.762813
2023-09-09,252,0.782136,0.735306,0.568978,0.784315,0.576757,0.778154
2023-09-10,253,0.550794,0.409412,0.426575,0.873842,0.532342,0.515350
2023-09-11,254,0.021567,-0.048757,0.447435,0.808335,0.557653,0.074930
2023-09-12,255,0.443210,0.300277,0.240870,0.848867,0.491837,0.389073
2023-09-13,256,0.808912,0.746649,0.361179,0.888646,0.652166,0.784753
