date,day,pm2.5,pm10,o3,no2,co,so2
2023-07-01,182,5.534848,9.733825,0.005885,3.799931,0.057329,0.165824
2023-07-02,183,5.689018,9.589913,0.006272,3.729862,0.060501,0.185544
2023-07-03,184,1.812583,4.549152,0.004929,3.503185,0.058593,0.069854
2023-07-04,185,2.441023,5.558575,0.004776,3.080664,0.055458,0.086561
2023-07-05,186,5.387420,8.608057,0.005180,3.836431,0.066090,0.165585
2023-07-06,187,5.585074,11.001296,0.005176,3.636892,0.059000,0.181028
2023-07-07,188,6.479350,12.670403,0.006009,4.578253,0.054745,0.200099
2023-07-08,189,6.136607,11.159791,0.005852,3.968148,0.059597,0.194363
2023-07-09,190,4.419249,7.665293,0.004913,3.930733,0.059633,0.144149
2023-07-10,191,2.411721,4.228435,0.005920,3.373730,0.060498,0.084728
2023-07-11,192,3.368183,5.796031,0.005023,3.880427,0.066078,0.117611
2023-07-12,193,5.584733,9.649052,0.005855,4.343575,0.057589,0.180805
2023-07-13,194,5.761387,10.831419,0.005720,4.317726,0.061448,0.191267
2023-07-14,195,6.372398,11.941530,0.005833,4.045863,0.061197,0.202415
2023-07-15,196,5.425845,9.188196,0.005973,3.029708,0.063155,0.173739
2023-07-16,197,4.191564,7.049061,0.005961,4.116797,0.063185,0.141585
2023-07-17,198,2.786576,5.523222,0.005954,4.019088,0.057992,0.101293
2023-07-18,199,3.038028,5.635272,0.005453,3.703187,0.060764,0.105895
2023-07-19,200,5.046866,9.126280,0.004967,3.955287,0.062418,0.167080
2023-07-20,201,6.719028,13.672370,0.004854,4.409018,0.060111,0.217887
2023-07-21,202,6.556522,12.227831,0.004604,3.500019,0.057416,0.204746
2023-07-22,203,6.401023,11.657888,0.005809,4.281805,0.072959,0.200598
2023-07-23,204,3.990988,6.929086,0.005722,3.748677,0.062571,0.135832
2023-07-24,205,2.357576,4.585853,0.004935,3.664402,0.055580,0.087526
2023-07-25,206,2.258677,5.105503,0.005339,3.811007,0.060088,0.081814
2023-07-26,207,5.292663,9.391469,0.005784,4.754451,0.063920,0.153952
2023-07-27,208,6.645485,12.654217,0.005217,4.589650,0.063668,0.202784
2023-07-28,209,5.788578,10.951568,0.006725,3.649958,0.057047,0.184854
2023-07-29,210,5.901640,10.609622,0.005922,4.901900,0.065570,0.190487
2023-07-30,211,4.882418,8.422130,0.005061,3.405794,0.056511,0.151575
2023-07-31,212,2.216980,4.474242,0.005523,3.602031,0.054202,0.081167
2023-08-01,213,2.652749,5.321690,0.005611,4.481452,0.059798,0.094506
2023-08-02,214,5.096795,8.984387,0.005504,4.399591,0.056001,0.157448
2023-08-03,215,6.130215,11.438414,0.005659,4.668227,0.074379,0.189444
2023-08-04,216,6.398728,11.435253,0.005473,4.364496,0.058114,0.195271
2023-08-05,217,6.537135,12.445451,0.005491,3.819748,0.061087,0.204210
2023-08-06,218,4.791135,8.120671,0.005684,4.740025,0.067288,0.151666
2023-08-07,219,2.193774,4.989456,0.005855,3.202267,0.055218,0.085890
2023-08-08,220,2.637121,4.915962,0.004991,2.867620,0.055099,0.093205
2023-08-09,221,4.254271,8.032172,0.005896,3.997812,0.053888,0.147413
2023-08-10,222,6.113502,12.341873,0.006081,3.630215,0.060878,0.187962
2023-08-11,223,6.276757,11.124337,0.005315,4.311779,0.066315,0.195564
2023-08-12,224,6.229387,11.793203,0.005551,3.937643,0.067935,0.191440
2023-08-13,225,4.420279,7.217767,0.005293,3.586774,0.058254,0.150433
2023-08-14,226,4.001884,6.942600,0.005344,3.739234,0.057529,0.136775
2023-08-15,227,3.365381,6.308452,0.005431,3.697971,0.052765,0.120979
2023-08-16,228,4.593032,8.214399,0.005471,3.319962,0.060753,0.137830
2023-08-17,229,5.317962,9.765669,0.005643,3.099063,0.049836,0.166106
2023-08-18,230,6.866504,12.319735,0.005860,3.553003,0.062790,0.206338
2023-08-19,231,5.759787,10.270514,0.005157,3.549134,0.058377,0.182697
2023-08-20,232,3.826154,7.377574,0.005059,3.025842,0.048244,0.123894
2023-08-21,233,2.316528,4.259844,0.004873,3.309467,0.056539,0.087221
2023-08-22,234,2.690921,5.125304,0.005439,3.351266,0.058582,0.086668
2023-08-23,235,5.041179,9.383292,0.005567,3.335603,0.065380,0.158908
2023-08-24,236,5.782978,10.910278,0.005536,4.206962,0.062354,0.182429
2023-08-25,237,5.866438,10.888235,0.005007,4.053238,0.058595,0.183492
2023-08-26,238,6.403558,11.810584,0.005567,4.438943,0.071061,0.204772
2023-08-27,239,4.272862,7.549932,0.004854,3.565178,0.058047,0.135057
2023-08-28,240,2.705226,5.051692,0.005874,4.263616,0.062960,0.096723
2023-08-29,241,3.525264,5.896009,0.005253,3.619796,0.064702,0.123700
2023-08-30,242,5.302985,9.382977,0.005301,4.298663,0.063168,0.172497
2023-08-31,243,6.524318,11.799328,0.005440,3.600753,0.055340,0.195736
2023-09-01,244,6.559494,12.018330,0.005681,4.109932,0.058161,0.213640
2023-09-02,245,5.875990,10.415245,0.005985,4.120811,0.054101,0.178188
2023-09-03,246,4.896149,8.108007,0.005935,3.278969,0.055866,0.158987
2023-09-04,247,3.313094,6.662573,0.005609,3.600006,0.060705,0.108309
2023-09-05,248,3.397555,6.121781,0.005474,3.543238,0.058798,0.116757
2023-09-06,249,5.052874,8.426526,0.005425,3.792899,0.055343,0.163670
2023-09-07,250,4.749767,10.201536,0.005050,2.683783,0.055574,0.159560
2023-09-08,251,6.677869,12.426681,0.005679,4.551903,0.063847,0.207103
2023-09-09,252,6.241355,10.909999,0.006653,4.769869,0.064073,0.194884
2023-09-10,253,4.522552,7.996040,0.005140,4.178078,0.062745,0.151243
2023-09-11,254,2.039904,4.481503,0.005191,2.703988,0.054226,0.078064
2023-09-12,255,2.878873,5.626530,0.005097,3.791732,0.064248,0.107079
2023-09-13,256,4.920675,7.791528,0.005764,3.477172,0.056600,0.152486
2023-09-14,257,6.426680,11.750549,0.006678,3.887404,0.054173,0.196991
2023-09-15,258,7.023750,13.717046,0.005617,4.775736,0.068806,0.224060
2023-09-16,259,5.883589,10.919435,0.005148,3.555223,0.059510,0.174062
2023-09-17,260,4.579064,7.894003,0.005144,2.988642,0.056163,0.145810
2023-09-18,261,2.118327,4.726476,0.005856,3.312501,0.056021,0.085374
2023-09-19,262,2.843972,5.743835,0.006488,3.859295,0.054010,0.098306
2023-09-20,263,4.729419,8.936926,0.005251,3.766240,0.063779,0.148150
2023-09-21,264,6.245876,11.077594,0.005783,3.946497,0.053550,0.195174
2023-09-22,265,5.785712,10.885495,0.005522,3.475893,0.062104,0.178767
2023-09-23,266,4.699033,8.840771,0.005339,3.198255,0.060257,0.144515
2023-09-24,267,4.347021,7.564517,0.005570,3.832574,0.059923,0.144955
2023-09-25,268,1.808052,3.988814,0.005252,3.731924,0.061548,0.073312
2023-09-26,269,3.294351,5.265230,0.005316,3.765883,0.059455,0.109088
2023-09-27,270,4.890119,8.112826,0.005461,3.987977,0.060288,0.160788
2023-09-28,271,5.149477,10.856989,0.004955,3.179265,0.057329,0.164572
2023-09-29,272,5.777781,10.479273,0.005696,3.826205,0.059416,0.176442
2023-09-30,273,6.000760,11.967224,0.005251,4.813201,0.069908,0.185494
2023-10-01,274,4.068810,7.078112,0.005249,3.552113,0.055514,0.152501
2023-10-02,275,2.510189,5.908199,0.005377,3.350020,0.054477,0.084960
2023-10-03,276,2.939143,4.777040,0.005161,3.661361,0.055291,0.092617
2023-10-04,277,5.987258,9.362115,0.006327,3.822158,0.055084,0.182518
