date,day,pm2.5,pm10,o3,no2,co,so2
2023-09-20,263,3.554637,6.207347,0.004058,2.955157,0.046864,0.115580
2023-09-21,264,4.675103,8.835983,0.004078,2.912193,0.043646,0.144647
2023-09-22,265,4.459875,9.564292,0.004282,2.917349,0.052519,0.136800
2023-09-23,266,4.500449,8.425233,0.004055,2.635030,0.049335,0.136013
2023-09-24,267,3.051551,6.337041,0.004393,2.658362,0.045365,0.106350
2023-09-25,268,1.583911,3.871239,0.004519,2.323217,0.045745,0.061919
2023-09-26,269,2.143731,4.977757,0.004214,3.124081,0.051361,0.079622
2023-09-27,270,3.662511,6.680574,0.004023,2.578684,0.042647,0.126810
2023-09-28,271,4.142924,8.670927,0.003860,2.777288,0.046073,0.141459
2023-09-29,272,5.225277,10.099704,0.004507,3.222085,0.055301,0.156549
2023-09-30,273,4.362753,8.026237,0.004056,2.924628,0.050192,0.141835
2023-10-01,274,3.415617,5.551364,0.004416,4.090488,0.059359,0.111043
2023-10-02,275,1.659489,3.772815,0.004691,2.616148,0.054285,0.067614
2023-10-03,276,1.857673,4.203722,0.004513,2.564851,0.044746,0.068851
2023-10-04,277,4.042925,7.716185,0.003740,2.546545,0.045016,0.130072
2023-10-05,278,4.131869,7.436227,0.004087,3.068202,0.046859,0.131362
2023-10-06,279,4.221367,7.139253,0.004436,2.801383,0.039339,0.129528
2023-10-07,280,4.579369,8.101895,0.003962,3.012747,0.046077,0.148766
2023-10-08,281,3.467393,6.576531,0.004186,2.771207,0.046387,0.106928
2023-10-09,282,2.124898,5.186779,0.003681,2.750364,0.044694,0.081436
2023-10-10,283,1.631584,3.841314,0.003867,2.211188,0.044048,0.069087
2023-10-11,284,3.637792,6.557430,0.003714,2.442604,0.045937,0.130221
2023-10-12,285,4.256710,7.852643,0.005284,3.174500,0.052388,0.138428
2023-10-13,286,5.219255,8.509910,0.004067,2.330806,0.045997,0.158021
2023-10-14,287,4.015818,7.463351,0.003761,2.504520,0.048507,0.127152
2023-10-15,288,4.081825,6.738846,0.003653,2.939959,0.044127,0.133444
2023-10-16,289,1.151846,3.600135,0.004307,2.099074,0.056181,0.058202
2023-10-17,290,1.758378,4.190450,0.004069,2.422279,0.043749,0.078379
2023-10-18,291,3.660094,6.260218,0.003844,2.627911,0.044038,0.119768
2023-10-19,292,4.359250,8.940374,0.004813,3.152447,0.047114,0.132259
2023-10-20,293,4.072797,7.506631,0.003536,3.060480,0.047628,0.120925
2023-10-21,294,4.216110,7.734839,0.004477,3.069943,0.049250,0.136085
2023-10-22,295,3.476844,6.016605,0.004403,2.969674,0.041872,0.106024
2023-10-23,296,1.526932,3.854280,0.003975,2.900895,0.053405,0.064961
2023-10-24,297,2.183508,5.109603,0.004846,3.408568,0.054752,0.075314
2023-10-25,298,3.968813,7.025051,0.004389,3.201943,0.050658,0.129277
2023-10-26,299,4.838446,9.925909,0.004266,2.747346,0.040614,0.157447
2023-10-27,300,4.209578,8.477142,0.003875,3.312004,0.053494,0.134167
2023-10-28,301,4.537562,9.240727,0.004344,3.394008,0.049969,0.143856
2023-10-29,302,3.451118,6.306109,0.004112,2.749864,0.042827,0.119168
2023-10-30,303,1.385938,3.380072,0.003809,2.419265,0.045377,0.069748
2023-10-31,304,1.822082,3.666634,0.004609,2.050278,0.045987,0.084505
2023-11-01,305,3.374240,6.694784,0.004016,2.967805,0.043843,0.111670
2023-11-02,306,4.608885,8.347564,0.004116,3.005018,0.048397,0.142712
2023-11-03,307,4.331396,8.376484,0.004320,3.363164,0.050438,0.142835
2023-11-04,308,4.589231,8.200730,0.003641,2.984497,0.051644,0.136398
2023-11-05,309,3.565801,6.054461,0.004072,2.917059,0.055718,0.129943
2023-11-06,310,1.484795,4.020775,0.003690,2.000309,0.045915,0.070919
2023-11-07,311,1.403702,3.675277,0.003432,2.392468,0.047643,0.063512
2023-11-08,312,3.304670,6.533436,0.004320,2.955661,0.056916,0.117943
2023-11-09,313,4.729505,8.983772,0.004520,3.079793,0.047926,0.142522
2023-11-10,314,4.923457,8.292702,0.004388,2.709310,0.054601,0.152591
2023-11-11,315,5.166544,8.962601,0.004041,3.628465,0.048333,0.163311
2023-11-12,316,3.123015,5.452299,0.003693,2.749465,0.049920,0.107506
2023-11-13,317,1.237119,3.339834,0.004013,2.484250,0.042815,0.053960
2023-11-14,318,1.465109,3.057820,0.004487,2.759253,0.043603,0.073869
2023-11-15,319,3.261093,6.973974,0.004547,2.867497,0.048530,0.103297
2023-11-16,320,4.528632,7.894425,0.004282,2.947627,0.047820,0.153456
2023-11-17,321,4.804346,9.225678,0.003264,2.848947,0.047034,0.157078
2023-11-18,322,4.468889,8.291703,0.004225,2.871451,0.044099,0.137594
2023-11-19,323,2.419275,4.321840,0.004434,2.526263,0.044051,0.083978
2023-11-20,324,1.273024,3.734951,0.003877,2.738528,0.049665,0.053439
2023-11-21,325,1.736368,3.814337,0.004141,2.337881,0.049758,0.077801
2023-11-22,326,4.081463,6.435727,0.004606,3.738960,0.052628,0.125448
2023-11-23,327,4.322845,8.516691,0.004613,3.186101,0.047386,0.145197
2023-11-24,328,5.052823,7.677173,0.003912,2.650007,0.045536,0.146734
2023-11-25,329,5.159705,8.473276,0.004589,3.305576,0.051789,0.156681
2023-11-26,330,3.518188,5.868337,0.003853,2.683445,0.044016,0.121199
2023-11-27,331,1.168780,3.540072,0.004487,2.047005,0.041319,0.055657
2023-11-28,332,1.699414,4.291948,0.004299,2.760458,0.046721,0.071657
2023-11-29,333,3.527682,6.815020,0.004074,2.596285,0.042370,0.124673
2023-11-30,334,4.212620,6.978864,0.004447,2.907063,0.039604,0.132071
2023-12-01,335,4.579425,8.693387,0.004333,3.256202,0.047451,0.148992
2023-12-02,336,3.946689,7.694685,0.003359,2.974897,0.057474,0.128816
2023-12-03,337,3.006814,5.790188,0.004160,2.514330,0.054236,0.100625
2023-12-04,338,1.008387,3.048935,0.004854,2.317307,0.041624,0.055474
2023-12-05,339,1.660975,3.720822,0.004218,2.328723,0.041312,0.066793
2023-12-06,340,3.289258,6.408044,0.004659,3.291981,0.044300,0.100208
2023-12-07,341,4.534780,7.766453,0.004276,3.153217,0.043915,0.142494
2023-12-08,342,4.429346,8.593292,0.003378,3.204069,0.049378,0.137085
2023-12-09,343,4.975944,8.544384,0.005378,3.706532,0.049434,0.157980
2023-12-10,344,3.061616,6.458132,0.004126,2.768348,0.054882,0.099601
2023-12-11,345,1.432428,3.778147,0.004001,2.747505,0.048498,0.052737
2023-12-12,346,1.289654,3.223054,0.004867,2.314318,0.043297,0.057808
2023-12-13,347,3.439485,6.020877,0.003775,2.846233,0.047275,0.109045
2023-12-14,348,4.988675,9.375615,0.003503,3.616868,0.042812,0.164567
2023-12-15,349,4.258366,9.565655,0.005081,3.293596,0.050161,0.134430
2023-12-16,350,4.564122,8.899170,0.004419,2.602705,0.050810,0.131941
2023-12-17,351,3.156730,5.818302,0.004730,2.537149,0.052513,0.103845
2023-12-18,352,1.368187,4.230096,0.003322,2.306078,0.049309,0.060122
2023-12-19,353,1.222401,3.455737,0.004705,2.764434,0.055438,0.056765
2023-12-20,354,3.022586,6.505414,0.004465,3.737467,0.054371,0.104255
2023-12-21,355,4.129584,8.894787,0.004246,2.649987,0.043727,0.121336
2023-12-22,356,4.535633,8.086818,0.003906,3.291719,0.049042,0.136210
2023-12-23,357,4.297802,8.483883,0.004418,2.829717,0.040746,0.140575
2023-12-24,358,2.420413,5.025842,0.003949,2.133503,0.041589,0.089473
2023-12-25,359,1.485402,3.470532,0.003930,2.107464,0.043906,0.060159
2023-12-26,360,1.317912,3.763253,0.004798,2.183152,0.039142,0.067379
2023-12-27,361,3.544020,6.122315,0.005141,2.607425,0.043512,0.114303
2023-12-28,362,4.551133,7.144440,0.004586,2.577948,0.045061,0.140950
2023-12-29,363,4.872404,9.166343,0.004427,3.191823,0.046167,0.157670
2023-12-30,364,5.028749,9.367592,0.004007,3.206118,0.052615,0.162423
2023-12-31,365,2.789272,4.716603,0.004215,2.420514,0.047075,0.094394
